gene	logFC
CYP1B1	7.42139697326272
PSAT1	6.77540197324668
LOC105377558	6.62216014121878
CTTNBP2	6.05677616675596
RBP4	5.93854447670036
CYP1A1	5.7395337636794
FST	5.59041350739404
KRT81	5.55918365899566
TGM5	5.51668806091706
CCR2	5.28800710411415
CDK1	5.24259001485635
KRT86	5.23794612533582
TCN1	5.19053688427544
LOC107985872	5.14955234658874
CHRNA6	5.12469761220202
RMDN2	5.11415207037771
ESCO2	5.1113422906838
IL9R	5.08991838024821
CEACAM6	5.08944958309328
CENPA	5.08586964479725
DLGAP5	5.05657359585816
GPR15	4.99550933196229
CDCA2	4.9788209205528
NCS1	4.97772797512231
SLCO4C1	4.97540970360548
SUCNR1	4.89835900774928
HMMR	4.89371470911914
PLA2G3	4.89041247073793
HMMR-AS1	4.88900842710983
PLK1	4.85053829078492
CCNB1	4.84875804840101
GPR85	4.79626030708045
TOP2A	4.79311165655511
CBSL	4.78684857689233
RRM2	4.77936224307724
KRT79	4.76330440662474
CEP55	4.73396415392485
KIF20A	4.73122549882144
HJURP	4.72909294486224
CBS	4.7194399565693
MIR1-1HG-AS1	4.70319937849496
LOC729296	4.69012374384199
PBK	4.68016728145508
AURKA	4.6789306362837
CCNA2	4.67872810105162
DEPDC1	4.66422876729901
MIR124-1HG	4.66345849780715
C6orf223	4.65346994086949
RHAG	4.63822077332938
BGLT3	4.62331338244239
DEPDC1-AS1	4.61910059829359
H3C14	4.55510337276895
H3C15	4.54560547427988
RNASE3	4.53613550300427
REG4	4.526270114798
CEBPE	4.52243963396022
PNPLA3	4.52216018375237
PSRC1	4.51492170597626
FAM72B	4.51111543105431
UBE2C	4.50129484189811
LINC02204	4.4932602714939
CDC20	4.48948665162638
PIF1	4.48481063804541
CCNF	4.4809952469684
ERCC6L	4.4636068535709
CLC	4.46298861887132
KIF23	4.46221808996749
LOC107985429	4.45711503522868
H3C12	4.43931486727541
CDCA8	4.43199706201977
KIF18B	4.42733304206891
KIF14	4.42675458547787
AURKB	4.41696063055061
NDFIP2	4.40244188563306
E2F8	4.39843847525358
FAM72C	4.37267327004784
ESPL1	4.36824800549214
BUB1B	4.36584920235845
KIF2C	4.3657914448984
AHRR	4.34454235961626
UBE2T	4.32738179043857
LOC105372738	4.31243697320622
GTSE1	4.31233803462981
SLC7A11	4.30407909477856
MELK	4.28360660436283
SKA1	4.27412613304069
FUT7	4.26329685013161
DHCR24	4.26238289111177
LINC02693	4.25978659640705
ASF1B	4.2476010192543
SPC25	4.24023082156605
H2BU1	4.240094366412
KNSTRN	4.23924910906216
CKAP2L	4.23733001320449
ASPM	4.21081892647192
FAM111B	4.20599379538117
APOL4	4.19864079927187
H3C8	4.19651457176087
C9orf40	4.14449160232137
NEUROG3	4.12749709590947
NUF2	4.12685355805731
LOC105371050	4.1225978658117
NEK2	4.11879194565192
ASIC1	4.10854564704082
LUM	4.10530876625198
SLC25A48-AS1	4.10425318802475
KIF4A	4.09436719053577
H4C13	4.08930397575299
HBBP1	4.08542741515248
CENPI	4.06582854586918
TNS4	4.06332057217961
EXO1	4.05768302977454
CALB2	4.05394873083271
SERPINB10	4.04882936005719
MCM10	4.03528468262297
DTNA	4.01746462314816
KIFC1	3.9886091636517
LOC101929705	3.97958694440366
DSCC1	3.97687085887419
CLSPN	3.97199455967515
NCAPH	3.97071769097972
FBXO16	3.96291520008552
LOC107985017	3.95962227953073
TESC	3.95764949642682
BUB1	3.95511657709611
DDIAS	3.94572321305586
NCAPG	3.94185824166224
GPT2	3.93366373387848
CENPE	3.92418692572818
H3C13	3.92028659150669
TTK	3.90822982770651
