gene	logFC
Isx	11.8537115998582
Gzma	10.6250825277595
H2-Aa	10.4490336341526
Cd74	10.0718716572212
Gzmb	9.75343631201757
Gsdmc4	9.70262566238358
Gsdmc2	9.56922390516148
Igkc	9.51156540844901
Mcpt1	9.14341538170251
Cd8a	9.07412398532548
Cd7	8.99328444495256
Gsdmc3	8.72215322007762
Gimap4	8.53234783115125
Ighm	8.52854574678578
Hbb-b1	8.43096268608624
Ccl5	8.19782515505077
Cd3g	8.13885825658913
Ikzf3	8.1087584285562
Dock10	8.08375318948019
Il2rb	7.93107104156771
H2-Eb1	7.67140926320151
Coro1a	7.54009166662176
Arhgap30	7.50922418342961
Laptm5	7.50074890256194
Hba-a1	7.48304937207428
Mcpt2	7.42999783525108
Car4	7.4029731750417
Gm16603	7.37856076072388
Nkg7	7.37473917253365
Il21r	7.35574027417193
Cd3e	7.32732658993615
Ido1	7.29109235228232
Pxdn	7.28792500302411
Lsp1	7.28715748581861
Gm5431	7.2575963770863
Klrd1	7.24688548379747
Gm17004	7.23174062486758
Cd53	7.23029990763447
Selplg	7.2017319461492
Cyth4	7.1796688305907
Asb2	7.16727670387507
Ifi203	7.15847625695795
Itgb2	7.08365664740558
Itk	7.06309311016624
Ikzf1	7.03696544728773
Enpp7	6.99574271426387
Gpr114	6.95633806574941
Lcp2	6.92119003750712
Arhgdib	6.9086884049315
Rasal3	6.89446195538209
Zap70	6.86409131005445
Cd3d	6.82192843055654
Gimap7	6.81064496867247
Myo1f	6.797904468665
Hba-a2	6.79787948573544
Ptprc	6.77816079718635
Sla	6.74955089432623
Gimap3	6.73498503633389
Rasgrp1	6.71386477664737
Nlrc5	6.71020064931409
Hbb-b2	6.67707098011269
Armc2	6.66261063199398
Runx3	6.66135676260426
Spn	6.64411542723826
Tyrobp	6.63499274779167
Defa-ps7	6.60960726847123
Slc5a12	6.59992790154306
Il2rg	6.59780491549688
Srgn	6.58645777082169
Cybb	6.56583622945408
Sh2d2a	6.56174163585569
Rgs1	6.55644882659167
Tcrg-C	6.52249838003417
Gm12250	6.51641085790431
Apol10a	6.48586052894119
Wdfy4	6.47998223220851
Serpina3g	6.4638625045302
Gbp4	6.45757490253065
P2ry10	6.42906891102896
Cd48	6.40704307218604
Mndal	6.40430540399689
Sash3	6.38449593169055
Reg3b	6.37387873310044
H2-Ab1	6.3693900726982
Dock2	6.34761231442378
Nckap1l	6.34720815775007
Gm11062	6.26634526613232
Cd200r1	6.26281598294501
Igj	6.25632955995406
Ciita	6.23739313382874
St8sia4	6.23729421313598
Arhgap25	6.22299691803362
Arap3	6.21003130434293
Csf2rb	6.19226244753179
Apol7e	6.17329167653734
Gimap6	6.12914232546417
Msn	6.11855158367923
Cyfip2	6.1111875009487
Itgax	6.09670956619066
Trbc2	6.08059979463777
Oas3	6.07528732322008
Sp100	6.05828548745248
Pglyrp2	6.00910595304859
Sell	5.97501474253502
Gpr171	5.94886938925332
Clca3	5.9451574071178
Hmha1	5.9368861521904
Tcrg-V2	5.92592709242362
Tcrg-V7	5.9159181692304
Slc7a15	5.87746595145974
Dtx1	5.87570053038693
Ms4a6b	5.86298227995182
Adamdec1	5.86250589057363
Ncf1	5.85429532607111
H2-DMb1	5.83418028228865
Klhl6	5.8307625515326
Thy1	5.81249483899654
Pyhin1	5.80725454424176
Was	5.79869935612272
