"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000064336","mt-Tf","mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487]"
"ENSMUSG00000064337","mt-Rnr1","mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493]"
"ENSMUSG00000064338","mt-Tv","mitochondrially encoded tRNA valine [Source:MGI Symbol;Acc:MGI:102472]"
"ENSMUSG00000064339","mt-Rnr2","mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492]"
"ENSMUSG00000064340","mt-Tl1","mitochondrially encoded tRNA leucine 1 [Source:MGI Symbol;Acc:MGI:102482]"
"ENSMUSG00000064341","mt-Nd1","mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]"
"ENSMUSG00000064342","mt-Ti","mitochondrially encoded tRNA isoleucine [Source:MGI Symbol;Acc:MGI:102484]"
"ENSMUSG00000064343","mt-Tq","mitochondrially encoded tRNA glutamine [Source:MGI Symbol;Acc:MGI:102477]"
"ENSMUSG00000064344","mt-Tm","mitochondrially encoded tRNA methionine [Source:MGI Symbol;Acc:MGI:102480]"
"ENSMUSG00000064345","mt-Nd2","mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]"
"ENSMUSG00000064346","mt-Tw","mitochondrially encoded tRNA tryptophan [Source:MGI Symbol;Acc:MGI:102471]"
"ENSMUSG00000064347","mt-Ta","mitochondrially encoded tRNA alanine [Source:MGI Symbol;Acc:MGI:102491]"
"ENSMUSG00000064348","mt-Tn","mitochondrially encoded tRNA asparagine [Source:MGI Symbol;Acc:MGI:102479]"
"ENSMUSG00000064349","mt-Tc","mitochondrially encoded tRNA cysteine [Source:MGI Symbol;Acc:MGI:102490]"
"ENSMUSG00000064350","mt-Ty","mitochondrially encoded tRNA tyrosine [Source:MGI Symbol;Acc:MGI:102470]"
"ENSMUSG00000064351","mt-Co1","mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]"
"ENSMUSG00000064352","mt-Ts1","mitochondrially encoded tRNA serine 1 [Source:MGI Symbol;Acc:MGI:102475]"
"ENSMUSG00000064353","mt-Td","mitochondrially encoded tRNA aspartic acid [Source:MGI Symbol;Acc:MGI:102489]"
"ENSMUSG00000064354","mt-Co2","mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]"
"ENSMUSG00000064355","mt-Tk","mitochondrially encoded tRNA lysine [Source:MGI Symbol;Acc:MGI:102483]"
"ENSMUSG00000064356","mt-Atp8","mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]"
"ENSMUSG00000064357","mt-Atp6","mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]"
"ENSMUSG00000064358","mt-Co3","mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]"
"ENSMUSG00000064359","mt-Tg","mitochondrially encoded tRNA glycine [Source:MGI Symbol;Acc:MGI:102486]"
"ENSMUSG00000064360","mt-Nd3","mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]"
"ENSMUSG00000064361","mt-Tr","mitochondrially encoded tRNA arginine [Source:MGI Symbol;Acc:MGI:102476]"
"ENSMUSG00000065947","mt-Nd4l","mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]"
"ENSMUSG00000064363","mt-Nd4","mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]"
"ENSMUSG00000064364","mt-Th","mitochondrially encoded tRNA histidine [Source:MGI Symbol;Acc:MGI:102485]"
"ENSMUSG00000064365","mt-Ts2","mitochondrially encoded tRNA serine 2 [Source:MGI Symbol;Acc:MGI:102474]"
"ENSMUSG00000064366","mt-Tl2","mitochondrially encoded tRNA leucine 2 [Source:MGI Symbol;Acc:MGI:102481]"
"ENSMUSG00000064367","mt-Nd5","mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]"
"ENSMUSG00000064368","mt-Nd6","mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]"
"ENSMUSG00000064369","mt-Te","mitochondrially encoded tRNA glutamic acid [Source:MGI Symbol;Acc:MGI:102488]"
"ENSMUSG00000064370","mt-Cytb","mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]"
"ENSMUSG00000064371","mt-Tt","mitochondrially encoded tRNA threonine [Source:MGI Symbol;Acc:MGI:102473]"
"ENSMUSG00000064372","mt-Tp","mitochondrially encoded tRNA proline [Source:MGI Symbol;Acc:MGI:102478]"
"ENSMUSG00002075400","",""
"ENSMUSG00000094722","",""
"ENSMUSG00000096776","Vmn1r186","vomeronasal 1 receptor Vmn1r186 [Source:NCBI gene (formerly Entrezgene);Acc:100039479]"
"ENSMUSG00000094741","",""
"ENSMUSG00002074899","",""
"ENSMUSG00002074970","",""
"ENSMUSG00002076890","",""
"ENSMUSG00000095019","",""
"ENSMUSG00000095666","",""
"ENSMUSG00000094303","",""
"ENSMUSG00000094915","",""
"ENSMUSG00000095041","",""
"ENSMUSG00000095250","",""
"ENSMUSG00000079800","",""
"ENSMUSG00000079222","",""
"ENSMUSG00000094836","",""
"ENSMUSG00002075729","",""
"ENSMUSG00000096244","","vomeronasal 1 receptor Vmn1r187 [Source:NCBI gene (formerly Entrezgene);Acc:100039499]"
"ENSMUSG00000079808","",""
"ENSMUSG00000095787","",""
"ENSMUSG00000074720","",""
"ENSMUSG00000096236","",""
"ENSMUSG00000095092","",""
"ENSMUSG00000094383","",""
"ENSMUSG00000094874","",""
"ENSMUSG00000096680","",""
"ENSMUSG00000096100","",""
"ENSMUSG00000094337","",""
"ENSMUSG00000079192","",""
"ENSMUSG00000094054","",""
"ENSMUSG00000096756","",""
"ENSMUSG00000095500","",""
"ENSMUSG00000095672","",""
"ENSMUSG00000095505","",""
"ENSMUSG00000079794","",""
"ENSMUSG00000079190","",""
"ENSMUSG00000095450","",""
"ENSMUSG00000094474","",""
"ENSMUSG00000144201","","novel transcript"
"ENSMUSG00000094799","",""
"ENSMUSG00000094728","",""
"ENSMUSG00000095570","",""
"ENSMUSG00000062783","Csprs","component of Sp100-rs [Source:NCBI gene (formerly Entrezgene);Acc:114564]"
"ENSMUSG00000144196","","novel transcript"
"ENSMUSG00000094791","",""
"ENSMUSG00000094514","",""
"ENSMUSG00000096728","",""
"ENSMUSG00000096808","",""
"ENSMUSG00000096550","Gm16367","predicted gene 16367 [Source:NCBI gene (formerly Entrezgene);Acc:545762]"
"ENSMUSG00000144204","","novel transcript"
"ENSMUSG00000144203","","novel transcript"
"ENSMUSG00000144199","","novel transcript"
"ENSMUSG00000094172","",""
"ENSMUSG00000094887","",""
"ENSMUSG00000091585","",""
"ENSMUSG00000095763","",""
"ENSMUSG00000095523","",""
"ENSMUSG00000095475","",""
"ENSMUSG00000094855","",""
"ENSMUSG00000100384","Gm28489","predicted gene 28489 [Source:MGI Symbol;Acc:MGI:5579195]"
"ENSMUSG00000100216","Gm21867","predicted gene, 21867 [Source:MGI Symbol;Acc:MGI:5434031]"
"ENSMUSG00000099641","Gm29448","predicted gene 29448 [Source:MGI Symbol;Acc:MGI:5580154]"
"ENSMUSG00000095634","Gm20816","predicted gene, 20816 [Source:MGI Symbol;Acc:MGI:5434172]"
"ENSMUSG00000101393","Gm29447","predicted gene 29447 [Source:MGI Symbol;Acc:MGI:5580153]"
"ENSMUSG00000100885","Gm29446","predicted gene 29446 [Source:MGI Symbol;Acc:MGI:5580152]"
"ENSMUSG00000101120","Gm29452","predicted gene 29452 [Source:MGI Symbol;Acc:MGI:5580158]"
"ENSMUSG00000101216","Gm29451","predicted gene 29451 [Source:MGI Symbol;Acc:MGI:5580157]"
"ENSMUSG00000100032","Gm20817","predicted gene, 20817 [Source:MGI Symbol;Acc:MGI:5434173]"
"ENSMUSG00000101080","Gm28633","predicted gene 28633 [Source:MGI Symbol;Acc:MGI:5579339]"
"ENSMUSG00000094444","Gm21562","predicted gene, 21562 [Source:MGI Symbol;Acc:MGI:5434917]"
"ENSMUSG00000100308","Gm29410","predicted gene 29410 [Source:MGI Symbol;Acc:MGI:5580116]"
"ENSMUSG00000101423","Gm28298","predicted gene 28298 [Source:MGI Symbol;Acc:MGI:5579004]"
"ENSMUSG00000095626","Gm21572","predicted gene, 21572 [Source:MGI Symbol;Acc:MGI:5434927]"
"ENSMUSG00000101761","Gm28297","predicted gene 28297 [Source:MGI Symbol;Acc:MGI:5579003]"
"ENSMUSG00000099493","Gm21753","predicted gene, 21753 [Source:MGI Symbol;Acc:MGI:5433917]"
"ENSMUSG00000096777","Gm21723","predicted gene, 21723 [Source:MGI Symbol;Acc:MGI:5433887]"
"ENSMUSG00000102119","Gm28462","predicted gene 28462 [Source:MGI Symbol;Acc:MGI:5579168]"
"ENSMUSG00000100739","Gm28296","predicted gene 28296 [Source:MGI Symbol;Acc:MGI:5579002]"
"ENSMUSG00000095345","Gm21821","predicted gene, 21821 [Source:MGI Symbol;Acc:MGI:5433985]"
"ENSMUSG00000100709","Gm28295","predicted gene 28295 [Source:MGI Symbol;Acc:MGI:5579001]"
"ENSMUSG00000100976","Gm29134","predicted gene 29134 [Source:MGI Symbol;Acc:MGI:5579840]"
"ENSMUSG00000100489","Gm28303","predicted gene 28303 [Source:MGI Symbol;Acc:MGI:5579009]"
"ENSMUSG00000101239","Gm28304","predicted gene 28304 [Source:MGI Symbol;Acc:MGI:5579010]"
